"","RSID","Date Mailed out","LENA1#","LENA2#","Out Tracking#","In Tracking#","Date Returned","Notes","DeliveryDt","LENADay1","ExpectedDt1","LENADay2","ExpectedDt2","DeliverySummary"
"14","RS002","10/15/20","036966","036971","4209740292055901550273000000051458","1z9457690391800023","12/8/20","Returned 12/8/20.","2020-10-18","Thursday","2020-10-22","Sunday","2020-10-25","-2147219283A status update is not yet available on your Priority Mail® package. It will be available when the shipper provides an update or the package is delivered to USPS. Check back soon. Sign up for Informed Delivery® to receive notifications for packages addressed to you."
"1","RS005","12/30/20","042412","042381","4208822092055901550273000000062874","","","","2021-01-02","Friday","2021-01-08","Monday","2021-01-11","Your item was delivered in or at the mailbox at 3:10 pm on January 2, 2021 in CARLSBAD, NM 88220."
"5","RS006","10/14/20","036962","023239","4209740292055901550273000000053902","1z9457690394629848","11/11/20","Returned 11/11/20","2020-10-17","Wednesday","2020-10-21","Saturday","2020-10-24","-2147219283A status update is not yet available on your Priority Mail® package. It will be available when the shipper provides an update or the package is delivered to USPS. Check back soon. Sign up for Informed Delivery® to receive notifications for packages addressed to you."
"6","RS007","10/22/20","033667","0369 78","4209740592055901550273000000053896","1z9457690397324500","11/5/20","Returned 11/5/20","2020-10-25","Thursday","2020-10-29","Sunday","2020-11-01","-2147219283A status update is not yet available on your Priority Mail® package. It will be available when the shipper provides an update or the package is delivered to USPS. Check back soon. Sign up for Informed Delivery® to receive notifications for packages addressed to you."
"20","RS008","2/2/21","","","","1Z9457690399219326","","","2021-02-05","Friday","2021-02-12","Monday","2021-02-15",""
"12","RS009","11/11/20","036977","023238","","1Z9457690393531883","12/8/20","Returned 12/8/20.","2020-11-14","Wednesday","2020-11-18","Saturday","2020-11-21",""
"17","RS010","","","","","","","","","Saturday","","Tuesday","",""
"13","RS011","11/23/20","036962","023239","4209740292055901550273000000056064","1z9457690393822890","12/30/20","Returned 12/30/20.","2020-11-24","Friday","2020-11-27","Monday","2020-11-30","Your item was delivered at the front door or porch at 10:15 am on November 24, 2020 in EUGENE, OR 97402."
"44","RS012","","","","","","","","","Wednesday","","Saturday","",""
"45","RS013","","","","","","","","","Sunday","","Wednesday","",""
"37","RS015","12/1/20","012122","014911","4209747892055901550273000000056453","1z9457690394286610","1/29/21","Returned 1/29/21","2020-12-02","Thursday","2020-12-03","Sunday","2020-12-06","Your item was delivered in or at the mailbox at 5:30 pm on December 2, 2020 in SPRINGFIELD, OR 97478."
"38","RS016","","","","","","","","","Tuesday","","Friday","",""
