"","RSID","Date Mailed out","LENA1#","LENA2#","Out Tracking#","In Tracking#","Date Returned","Notes","DeliveryDt","LENADay1","ExpectedDt1","LENADay2","ExpectedDt2","DeliverySummary"
"14","RS002","","","","","","","","","Thursday","","Sunday","",""
"1","RS005","","","","","","","","","Friday","","Monday","",""
"5","RS006","","","","","","","","","Wednesday","","Saturday","",""
"6","RS007","","","","","","","","","Thursday","","Sunday","",""
"20","RS008","","","","","","","","","Friday","","Monday","",""
"12","RS009","","","","","","","","","Wednesday","","Saturday","",""
"17","RS010","","","","","","","","","Saturday","","Tuesday","",""
"13","RS011","","","","","","","","","Friday","","Monday","",""
"44","RS012","","","","","","","","","Wednesday","","Saturday","",""
"45","RS013","","","","","","","","","Sunday","","Wednesday","",""
"37","RS015","","","","","","","","","Thursday","","Sunday","",""
"38","RS016","","","","","","","","","Tuesday","","Friday","",""
"11","RS017","","","","","","","","","Thursday","","Sunday","",""
"18","RS018","","","","","","","","","Tuesday","","Friday","",""
"27","RS019","","","","","","","","","Sunday","","Wednesday","",""
"21","RS020","","","","","","","","","Thursday","","Sunday","",""
"22","RS021","","","","","","","","","Monday","","Thursday","",""
"4","RS022","","","","","","","","","Tuesday","","Friday","",""
"31","RS025","","","","","","","","","Sunday","","Wednesday","",""
"23","RS026","","","","","","","","","Tuesday","","Friday","",""
"29","RS027","","","","","","","","","Monday","","Thursday","",""
"16","RS029","","","","","","","","","Thursday","","Sunday","",""
"39","RS032","","","","","","","","","Thursday","","Sunday","",""
"2","RS033","","","","","","","","","Friday","","Monday","",""
"32","RS034","","","","","","","","","Monday","","Thursday","",""
"40","RS036","","","","","","","","","Saturday","","Tuesday","",""
"15","RS038","","","","","","","","","Tuesday","","Friday","",""
"10","RS039","","","","","","","","","Monday","","Thursday","",""
"43","RS040","","","","","","","","","Friday","","Monday","",""
"36","RS042","","","","","","","","","Monday","","Thursday","",""
"35","RS044","","","","","","","","","Sunday","","Wednesday","",""
"46","RS046","","","","","","","","","Friday","","Monday","",""
"30","RS047","","","","","","","","","Tuesday","","Friday","",""
"3","RS049","","","","","","","","","Saturday","","Tuesday","",""
"7","RS050","","","","","","","","","Tuesday","","Friday","",""
"42","RS054","","","","","","","","","Monday","","Thursday","",""
"25","RS055","","","","","","","","","Wednesday","","Saturday","",""
"49","RS056","","","","","","","","","Thursday","","Sunday","",""
"41","RS057","","","","","","","","","Tuesday","","Friday","",""
"28","RS062","","","","","","","","","Friday","","Monday","",""
"19","RS064","","","","","","","","","Sunday","","Wednesday","",""
"26","RS066","","","","","","","","","Monday","","Thursday","",""
"8","RS069","","","","","","","","","Sunday","","Wednesday","",""
"33","RS070","","","","","","","","","Thursday","","Monday","",""
"9","RS073","","","","","","","","","Sunday","","Wednesday","",""
"34","RS075","","","","","","","","","Friday","","Monday","",""
"24","RS076","","","","","","","","","Tuesday","","Friday","",""
"47","RS079","","","","","","","","","Friday","","Monday","",""
"48","RS080","","","","","","","","","Tuesday","","Friday","",""
